topology,n_nodes,n_edges,edge_density,n_components,diameter,avg_shortest_path,avg_clustering,avg_degree,max_degree,min_degree,max_betweenness,avg_betweenness,bottleneck_agent
chain,20,19,0.1,1,19,7.0,0.0,1.9,2,1,0.5263157894736842,0.3333333333333333,agent_09
tree,20,19,0.1,1,7,4.063157894736842,0.0,1.9,3,1,0.6783625730994152,0.17017543859649123,agent_01
random,20,67,0.3526315789473684,1,3,1.7052631578947368,0.36222943722943723,6.7,11,3,0.10583023214602164,0.0391812865497076,agent_02
small_world,20,40,0.21052631578947367,1,4,2.136842105263158,0.16499999999999998,4.0,6,3,0.1507265638844586,0.06315789473684211,agent_17
modular,20,44,0.23157894736842105,1,5,2.626315789473684,0.85,4.4,6,4,0.47368421052631576,0.09035087719298245,agent_06
scale_free,20,36,0.18947368421052632,1,3,1.9736842105263157,0.40938949938949937,3.6,13,2,0.47864104706209964,0.054093567251461985,agent_00
fully_connected,20,190,1.0,1,1,1.0,1.0,19.0,19,19,0.0,0.0,agent_00
